MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
JOHN DEERE,X710,2014,TRACTOR,1M0X710APEM020113,1409370,"$18,258.44 ",5/12/14,GOWANUS,EQ-022332
JOHN DEERE,X710,2015,TRACTOR,1M0X710APFM031159,1526415,"$19,871.69 ",10/28/15,BERRY,EQ-022963
JOHN DEERE,X710,2015,TRACTOR,1M0X710APFM031162,1526415,"$19,871.69 ",10/28/15,OCEAN BAY,EQ-022962
JOHN DEERE,X710,2015,TRACTOR,1M0X710APFM031176,1526415,"$19,871.69 ",11/6/15,MOTT HAVEN,MA-489311
JDEERE,X710,2013,Tractor,1M0X710ATDM010114,1305050,"$16,450.99 ",4/8/13,RED HOOK WEST,AU-020601
JOHN DEERE,X710,2014,TRACTOR,1M0X710ATEM020112,1409370,"$18,258.44 ",5/12/14,SEDGWICK,EQ-022328
JOHN DEERE,X710,2015,TRACTOR,1M0X710ATFM031158,1526415,"$19,871.69 ",10/28/15,ROOSEVELT,EQ-022959
JOHN DEERE,X710,2015,TRACTOR,1M0X710ATFM031161,1526415,"$19,871.69 ",10/28/15,MILLBROOK,EQ-022968
JOHN DEERE,X710,2015,TRACTOR,1M0X710ATFM031175,1526415,"$19,871.69 ",11/27/15,TAFT,MA-489318
JOHN DEERE,X710,2015,TRACTOR,1M0X710ATFM031208,1526415,"$19,871.69 ",10/28/15,LAGUARDIA,EQ-022964
JDEERE,X710,2013,Tractor,1M0X710AVDM010170,1305050,"$16,450.99 ",4/8/13,RED HOOK EAST,AU-020602
JDEERE,X710,2013,Tractor,1M0X710AVDM010198,1305050,"$16,450.99 ",4/19/13,BEACH 41ST STREET,AU-020623
JOHN DEERE,X710,2015,TRACTOR,1M0X710AVFM031149,1526415,"$19,871.69 ",10/28/15,LES 2,EQ-022961
JOHN DEERE,X710,2015,TRACTOR,1M0X710AVFM031152,1526415,"$19,871.69 ",10/28/15,BORINQUEN PLAZA,EQ-0229732
JOHN DEERE,X710,2015,TRACTOR,1M0X710AVFM031166,1526415,"$19,871.69 ",11/6/15,BLAND,EQ-022998
JOHN DEERE,X710,2015,TRACTOR,1M0X710AVFM031188,1526415,"$19,871.69 ",11/6/15,ADAMS,EQ-022999
JOHN DEERE,X710,2015,TRACTOR,1M0X710AVFM031216,1526415,"$19,871.69 ",11/6/15,STUYVESANT,MA-489306
JOHN DEERE,X730,2018,TRACTOR,1M0X730AAJM061855,1826837,"$20,687.62 ",11/30/18,SOUTH BEACH ,MS-129359
JOHN DEERE,X730,2019,TRACTOR,1M0X730AAJM062570,1902063,"$20,960.46 ",3/25/19,TAYLOR WYTHE,MS-129412
JOHN DEERE,X730,2018,TRACTOR,1M0X730ACJM061067,1826837,"$20,687.62 ",11/30/18,CAREY GARDENS,MS-129358
JOHN DEERE,X730,2018,TRACTOR,1M0X730ACJM061853,1826837,"$20,687.62 ",11/30/18,SACKWERN,MS-129360
JOHN DEERE,X730,2018,TRACTOR,1M0X730ACJM061862,1826837,"$20,687.62 ",11/30/18,BREVOORT,MS-129357
JOHN DEERE,X730,2019,TRACTOR,1M0X730ACJM062056,1902063,"$20,960.46 ",3/28/19,TILDEN,MS-129420
JOHN DEERE,X730,2019,TRACTOR,1M0X730ACJM062243,1902063,"$20,960.46 ",3/28/19,SEDGWICK,MS-129423
JOHN DEERE,X730,2018,TRACTOR,1M0X730AEJM061858,1826837,"$20,687.62 ",11/26/18,ROOSEVELT,MS-129351
JOHN DEERE,X730,2018,TRACTOR,1M0X730AHJM061857,1826837,"$20,687.62 ",11/26/18,SOTOMAYOR,MS-129352
JOHN DEERE,X730,2018,TRACTOR,1M0X730AHJM061860,1826837,"$20,687.62 ",11/27/18,HIGHBRIDGE,MS-129353
JOHN DEERE,X730,2019,TRACTOR,1M0X730AHJM062054,1902063,"$20,960.46 ",3/28/19,JEFFERSON,MS-129422
JOHN DEERE,X730,2019,TRACTOR,1M0X730AHJM062068,1902063,"$20,960.46 ",3/26/19,LAQUARDIA,MS-129417
JOHN DEERE,X730,2018,TRACTOR,1M0X730AKJM061851,1826837,"$20,687.62 ",11/29/18,SOUNDVIEW,MS-129355
JOHN DEERE,X730,2019,TRACTOR,1M0X730AKJM062238,1902063,"$20,960.46 ",3/26/19,SOUTH JAMAICA,MS-129415
JOHN DEERE,X730,2019,TRACTOR,1M0X730AKJM062241,1902063,"$20,960.46 ",3/25/19,PARKSIDE,MS-129413
JOHN DEERE,X730,2019,TRACTOR,1M0X730ALJM062067,1902063,"$20,960.46 ",3/25/19,ST. MARY'S,MS-129414
JOHN DEERE,X730,2019,TRACTOR,1M0X730APJM062240,1902063,"$20,960.46 ",3/26/19,CARVER,MS-129416
JOHN DEERE,X730,2018,TRACTOR,1M0X730ATJM061068,1826837,"$20,687.62 ",11/29/18,BROWNSVILLE,MS-129356
JOHN DEERE,X730,2019,TRACTOR,1M0X730ATJM062236,1902063,"$20,960.46 ",3/28/19,PINK,MS-129421
JOHN DEERE,X730,2019,TRACTOR,1M0X730ATJM062561,1902063,"$20,960.46 ",3/26/19,FORT WASHINGTON,MS-129418
JOHN DEERE,X730,2018,TRACTOR,1M0X730AVJM061854,1826837,"$20,687.62 ",11/27/18,EASTCHESTER,MS-129354
JOHN DEERE,X730,2019,TRACTOR,1M0X730AVJM062244,1902063,"$20,960.46 ",3/28/19,VLADECK,MS-129419
JOHN DEERE,855 GATOR,2014,TRACTOR,1MO855DEPEM082531,1418843,"$13,999.00 ",7/18/14,QUEENSBRIDGE SO.,EQ-022533
JOHN DEERE,X710,2015,TRACTOR,1MOX710AAEM030048,1501600,"$18,259.00 ",3/25/15,HOWARD,EQ-022872
JOHN DEERE,X710,2015,TRACTOR,1MOX710AAEM030079,1501600,"$18,259.00 ",3/25/15,TILDEN,EQ-022869
