,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
208,Brooklyn Borough Office,CARETAKER HA_G,2,0,,NO NAME FOUND,CARETAKER HA_G,13.0,CTG
209,Brooklyn Borough Office,CARETAKER HA_X,3,1,,NO NAME FOUND,CARETAKER HA_X,12.0,CTX
210,Brooklyn Borough Office,CARPENTER,43,52,,NO NAME FOUND,,,
211,Brooklyn Borough Office,CLERICAL ASO,3,3,,NO NAME FOUND,CLERICAL ASO,3.0,SEC
212,Brooklyn Borough Office,ELECTRCN HELPER,4,6,,NO NAME FOUND,,,
213,Brooklyn Borough Office,ELECTRICIAN,8,8,,NO NAME FOUND,,,
214,Brooklyn Borough Office,GLAZIER,5,5,,NO NAME FOUND,,,
215,Brooklyn Borough Office,HSG AST,3,1,,NO NAME FOUND,HSG AST,4.0,HA
216,Brooklyn Borough Office,HSG EXTRMNTR,17,26,,NO NAME FOUND,,,
217,Brooklyn Borough Office,HSNG EXTR AL2,2,0,,NO NAME FOUND,,,
218,Brooklyn Borough Office,HSNG EXTR AL2&3,0,2,,NO NAME FOUND,,,
219,Brooklyn Borough Office,MAINT WORKER,2,0,,NO NAME FOUND,MAINT WORKER,9.0,MW
220,Brooklyn Borough Office,MASONS HELPER,10,9,,NO NAME FOUND,,,
221,Brooklyn Borough Office,PAINTER,18,0,,NO NAME FOUND,,,
222,Brooklyn Borough Office,PLASTERER,50,49,,NO NAME FOUND,,,
223,Brooklyn Borough Office,PLUMBER,16,16,,NO NAME FOUND,,,
224,Brooklyn Borough Office,PLUMBERS HELPER,12,14,,NO NAME FOUND,,,
225,Brooklyn Borough Office,PRIN ADM ASO,1,1,,NO NAME FOUND,,,
226,Brooklyn Borough Office,RES BLDG SUPT,5,5,,NO NAME FOUND,RES BLDG SUPT,5.0,SUPER
227,Brooklyn Borough Office,ROOFER,4,4,,NO NAME FOUND,,,
228,Brooklyn Borough Office,SECY,9,8,,NO NAME FOUND,SECY,3.0,SEC
229,Brooklyn Borough Office,SUPV BRICKLAYER,2,2,,NO NAME FOUND,,,
230,Brooklyn Borough Office,SUPV CARPENTER,3,3,,NO NAME FOUND,,,
231,Brooklyn Borough Office,SUPV ELECTRCN,1,1,,NO NAME FOUND,,,
232,Brooklyn Borough Office,SUPV GLAZIER,1,1,,NO NAME FOUND,,,
233,Brooklyn Borough Office,SUPV PAINTER,6,0,,NO NAME FOUND,,,
234,Brooklyn Borough Office,SUPV PLASTERER,4,6,,NO NAME FOUND,,,
235,Brooklyn Borough Office,SUPV PLUMBER,2,2,,NO NAME FOUND,,,
236,Brooklyn Borough Office,SUPV ROOFER,1,1,,NO NAME FOUND,,,
237,Brownsville,AST HSG MGR,1,1,016,BROWNSVILLE,AST HSG MGR,2.0,APM
238,Brownsville,AST RES BLDG SP,2,2,016,BROWNSVILLE,AST RES BLDG SP,6.0,ASUPER
239,Brownsville,CARETAKER HA,19,19,016,BROWNSVILLE,CARETAKER HA,10.0,CTJ
240,Brownsville,CARETAKER HA_G,1,0,016,BROWNSVILLE,CARETAKER HA_G,13.0,CTG
241,Brownsville,CARETAKER HA_X,5,6,016,BROWNSVILLE,CARETAKER HA_X,12.0,CTX
242,Brownsville,CLERICAL ASO,1,0,016,BROWNSVILLE,CLERICAL ASO,3.0,SEC
243,Brownsville,HSG AST,3,3,016,BROWNSVILLE,HSG AST,4.0,HA
244,Brownsville,HSG MGR,1,1,016,BROWNSVILLE,HSG MGR,1.0,PM
245,Brownsville,MAINT WORKER,5,6,016,BROWNSVILLE,MAINT WORKER,9.0,MW
246,Brownsville,RES BLDG SUPT,1,1,016,BROWNSVILLE,RES BLDG SUPT,5.0,SUPER
247,Brownsville,SECY,2,2,016,BROWNSVILLE,SECY,3.0,SEC
