,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
1716,PUBLIC SCHOOL 139 (CONVERSION),DREW-HAMILTON,340,111,DREW-HAMILTON CONSOLIDATED
1717,QUEENSBRIDGE NORTH,QUEENSBRIDGE NORTH,505,505,QUEENSBRIDGE NORTH
1751,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,005,005,QUEENSBRIDGE SOUTH
1787,RALPH AVENUE REHAB,REID APARTMENTS,352,167,REID APARTMENTS CONSOLIDATED
1792,RANDALL AVENUE-BALCOM AVENUE,THROGGS NECK,245,063,THROGGS NECK CONSOLIDATED
1796,RANGEL,RANGEL,037,037,RANGEL
1804,RAVENSWOOD,RAVENSWOOD,048,048,RAVENSWOOD
1835,RED HOOK EAST,RED HOOK EAST,004,004,RED HOOK EAST
1854,RED HOOK WEST,RED HOOK WEST,079,079,RED HOOK WEST
1869,REDFERN,REDFERN,055,055,REDFERN
1878,REHAB PROGRAM (COLLEGE POINT),LATIMER GARDENS,143,186,LATIMER GARDENS CONSOLIDATED
1879,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),515,359,KRAUS MANAGEMENT CONSOLIDATED
1888,REHAB PROGRAM (TAFT REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),516,359,KRAUS MANAGEMENT CONSOLIDATED
1892,REHAB PROGRAM (WISE REHAB),WISE TOWERS,517,127,WISE TOWERS CONSOLIDATED
1893,REID APARTMENTS,REID APARTMENTS,167,167,REID APARTMENTS CONSOLIDATED
1894,RICHMOND TERRACE,RICHMOND TERRACE,117,117,RICHMOND TERRACE CONSOLIDATED
1901,RIIS,RIIS,018,018,RIIS CONSOLIDATED
1915,RIIS II,RIIS,019,018,RIIS CONSOLIDATED
1921,ROBBINS PLAZA,ISAACS,218,139,ISAACS CONSOLIDATED
1922,ROBINSON,ROBINSON,241,241,JACKIE ROBINSON CONSOLIDATED
1923,ROOSEVELT I,ROOSEVELT,135,135,ROOSEVELT CONSOLIDATED
1929,ROOSEVELT II,ROOSEVELT,177,135,ROOSEVELT CONSOLIDATED
1932,RUTGERS,RUTGERS,099,099,RUTGERS
1937,RUTLAND TOWERS,REID APARTMENTS,282,167,REID APARTMENTS CONSOLIDATED
1938,SACK WERN,SACK WERN,280,280,SACK WERN CONSOLIDATED
1946,SAINT MARY'S PARK,SAINT MARY'S PARK,093,093,SAINT MARY'S PARK CONSOLIDATED
1952,SAINT NICHOLAS,SAINT NICHOLAS,038,038,SAINT NICHOLAS
1965,SAMUEL (CITY),SAMUEL,377,377,FREDERICK SAMUEL (CITY)
2007,SAMUEL (MHOP) I,KRAUS MANAGEMENT (PRIVATE - M/B 1),389,359,KRAUS MANAGEMENT CONSOLIDATED
2012,SAMUEL (MHOP) II,KRAUS MANAGEMENT (PRIVATE - M/B 1),398,359,KRAUS MANAGEMENT CONSOLIDATED
2013,SAMUEL (MHOP) III,KRAUS MANAGEMENT (PRIVATE - M/B 1),399,359,KRAUS MANAGEMENT CONSOLIDATED
2014,SARATOGA VILLAGE,OCEAN HILL APARTMENTS,158,162,OCEAN HILL CONSOLIDATED
2015,SEDGWICK,SEDGWICK,045,045,SEDGWICK CONSOLIDATED
2022,SEWARD PARK EXTENSION,GOMPERS,192,100,GOMPERS CONSOLIDATED
2027,SHEEPSHEAD BAY,SHEEPSHEAD BAY,036,036,SHEEPSHEAD BAY CONSOLIDATED
